team,season,first_half_goals,second_half_goals,league
BET,2011,23.0,24.0,La Liga
ESP,2011,28.0,18.0,La Liga
GET,2011,24.0,23.0,La Liga
GRA,2011,19.0,23.0,La Liga
LEVA,2011,31.0,24.0,La Liga
MALL,2011,22.0,30.0,La Liga
MLG,2011,25.0,33.0,La Liga
OSA,2011,27.0,27.0,La Liga
RAYO,2011,22.0,21.0,La Liga
RMA,2011,49.0,51.0,La Liga
RSO,2011,21.0,26.0,La Liga
SAN,2011,20.0,7.0,La Liga
SEV,2011,26.0,24.0,La Liga
SPG,2011,18.0,19.0,La Liga
VIL,2011,19.0,22.0,La Liga
VLC,2011,35.0,26.0,La Liga
ZAR,2011,12.0,31.0,La Liga
ATHB,2012,21.0,24.0,La Liga
ATHM,2012,44.0,32.0,La Liga
BARC,2012,55.0,45.0,La Liga
BET,2012,34.0,22.0,La Liga
CEL,2012,18.0,19.0,La Liga
ESP,2012,18.0,26.0,La Liga
GET,2012,25.0,22.0,La Liga
GRA,2012,17.0,25.0,La Liga
LAC,2012,16.0,19.0,La Liga
LEVA,2012,30.0,16.0,La Liga
MALL,2012,17.0,19.0,La Liga
MLG,2012,31.0,26.0,La Liga
OSA,2012,15.0,24.0,La Liga
RAYO,2012,31.0,22.0,La Liga
RMA,2012,37.0,48.0,La Liga
RSO,2012,26.0,40.0,La Liga
SEV,2012,22.0,28.0,La Liga
VLC,2012,30.0,35.0,La Liga
VLLD,2012,25.0,18.0,La Liga
ZAR,2012,22.0,12.0,La Liga
ALM,2013,19.0,21.0,La Liga
ATHB,2013,36.0,34.0,La Liga
ATHM,2013,50.0,40.0,La Liga
BARC,2013,50.0,37.0,La Liga
BET,2013,11.0,14.0,La Liga
CEL,2013,19.0,30.0,La Liga
ELC,2013,18.0,22.0,La Liga
ESP,2013,22.0,20.0,La Liga
GET,2013,23.0,19.0,La Liga
GRA,2013,23.0,18.0,La Liga
LEVA,2013,23.0,25.0,La Liga
MLG,2013,20.0,25.0,La Liga
OSA,2013,21.0,18.0,La Liga
RAYO,2013,16.0,27.0,La Liga
RMA,2013,47.0,40.0,La Liga
RSO,2013,32.0,27.0,La Liga
SEV,2013,30.0,33.0,La Liga
VIL,2013,34.0,25.0,La Liga
VLC,2013,23.0,26.0,La Liga
VLLD,2013,16.0,20.0,La Liga
ALM,2014,16.0,16.0,La Liga
ATHB,2014,19.0,36.0,La Liga
ATHM,2014,41.0,37.0,La Liga
BARC,2014,44.0,50.0,La Liga
CEL,2014,21.0,30.0,La Liga
COR,2014,18.0,2.0,La Liga
EIB,2014,27.0,8.0,La Liga
ELC,2014,17.0,24.0,La Liga
ESP,2014,23.0,26.0,La Liga
GET,2014,17.0,20.0,La Liga
GRA,2014,14.0,21.0,La Liga
LAC,2014,17.0,18.0,La Liga
LEVA,2014,16.0,21.0,La Liga
MLG,2014,31.0,19.0,La Liga
