league,season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
bundesliga,2024,2024-12-21,HOF,M'G,1.0,2.0,-1,0.0,3.0,2.35,3.69,2.85
bundesliga,2024,2024-12-21,HOLK,AUG,5.0,1.0,1,3.0,0.0,3.05,3.31,2.4
bundesliga,2024,2024-12-21,STU,STP,0.0,1.0,-1,0.0,3.0,1.47,4.64,6.51
bundesliga,2024,2024-12-21,WERB,UNI,4.0,1.0,1,3.0,0.0,2.1,3.37,3.64
bundesliga,2024,2024-12-21,LEVK,FRE,5.0,1.0,1,3.0,0.0,1.38,5.03,8.04
bundesliga,2024,2024-12-20,BAY,RBL,5.0,1.0,1,3.0,0.0,1.22,7.04,11.46
bundesliga,2024,2024-12-15,HEI,STU,1.0,3.0,-1,0.0,3.0,4.09,3.89,1.82
bundesliga,2024,2024-12-15,DOR,HOF,1.0,1.0,0,1.0,1.0,1.44,5.01,6.34
bundesliga,2024,2024-12-15,RBL,EINF,2.0,1.0,1,3.0,0.0,2.1,3.86,3.18
bundesliga,2024,2024-12-14,AUG,LEVK,0.0,2.0,-1,0.0,3.0,5.47,4.2,1.59
bundesliga,2024,2024-12-14,MAI,BAY,2.0,1.0,1,3.0,0.0,6.54,4.69,1.47
bundesliga,2024,2024-12-14,M'G,HOLK,4.0,1.0,1,3.0,0.0,1.44,4.89,6.63
bundesliga,2024,2024-12-14,UNI,BOC,1.0,1.0,0,1.0,1.0,1.59,3.94,6.09
bundesliga,2024,2024-12-14,STP,WERB,0.0,2.0,-1,0.0,3.0,2.64,3.4,2.66
bundesliga,2024,2024-12-13,FRE,WOB,3.0,2.0,1,3.0,0.0,2.22,3.41,3.3
bundesliga,2024,2024-12-08,WOB,MAI,4.0,3.0,1,3.0,0.0,2.15,3.42,3.46
bundesliga,2024,2024-12-08,HOF,FRE,1.0,1.0,0,1.0,1.0,2.71,3.47,2.54
bundesliga,2024,2024-12-07,BAY,HEI,4.0,2.0,1,3.0,0.0,1.09,12.51,23.3
bundesliga,2024,2024-12-07,BOC,WERB,0.0,1.0,-1,0.0,3.0,3.14,3.62,2.23
bundesliga,2024,2024-12-07,EINF,AUG,2.0,2.0,0,1.0,1.0,1.55,4.36,5.89
bundesliga,2024,2024-12-07,HOLK,RBL,0.0,2.0,-1,0.0,3.0,5.36,4.37,1.59
bundesliga,2024,2024-12-07,LEVK,STP,2.0,1.0,1,3.0,0.0,1.24,6.57,11.8
bundesliga,2024,2024-12-07,M'G,DOR,1.0,1.0,0,1.0,1.0,3.23,3.89,2.1
bundesliga,2024,2024-12-06,STU,UNI,3.0,2.0,1,3.0,0.0,1.83,3.58,4.64
bundesliga,2024,2024-12-01,MAI,HOF,2.0,0.0,1,3.0,0.0,2.08,3.61,3.45
bundesliga,2024,2024-12-01,HEI,EINF,0.0,4.0,-1,0.0,3.0,3.73,3.69,1.97
