league,season,team,first_half_pts,second_half_pts
Bundesliga,2018,AUG,17.647058823529413,17.647058823529413
Bundesliga,2018,BAY,100.0,100.0
Bundesliga,2018,DOR,94.11764705882354,94.11764705882354
Bundesliga,2018,EINF,64.70588235294117,64.70588235294117
Bundesliga,2018,FORD,47.05882352941177,47.05882352941177
Bundesliga,2018,FRE,29.411764705882355,29.411764705882355
Bundesliga,2018,HAN,5.882352941176471,5.882352941176471
Bundesliga,2018,HERT,41.1764705882353,41.1764705882353
Bundesliga,2018,HOF,52.94117647058824,52.94117647058824
Bundesliga,2018,LEVK,82.3529411764706,82.3529411764706
Bundesliga,2018,M'G,76.47058823529412,76.47058823529412
Bundesliga,2018,MAI,35.294117647058826,35.294117647058826
Bundesliga,2018,NUR,0.0,0.0
Bundesliga,2018,RBL,88.23529411764706,88.23529411764706
Bundesliga,2018,SCH,23.529411764705884,23.529411764705884
Bundesliga,2018,STU,11.764705882352942,11.764705882352942
Bundesliga,2018,WERB,58.82352941176471,58.82352941176471
Bundesliga,2018,WOB,70.58823529411765,70.58823529411765
Bundesliga,2019,AUG,17.647058823529413,17.647058823529413
Bundesliga,2019,BAY,100.0,100.0
Bundesliga,2019,DOR,94.11764705882354,94.11764705882354
Bundesliga,2019,EINF,52.94117647058824,52.94117647058824
Bundesliga,2019,FORD,5.882352941176471,5.882352941176471
Bundesliga,2019,FRE,58.82352941176471,58.82352941176471
Bundesliga,2019,HERT,47.05882352941177,47.05882352941177
Bundesliga,2019,HOF,70.58823529411765,70.58823529411765
Bundesliga,2019,KOL,23.529411764705884,23.529411764705884
Bundesliga,2019,LEVK,76.47058823529412,76.47058823529412
Bundesliga,2019,M'G,82.3529411764706,82.3529411764706
Bundesliga,2019,MAI,29.411764705882355,29.411764705882355
Bundesliga,2019,PAD,0.0,0.0
Bundesliga,2019,RBL,88.23529411764706,88.23529411764706
Bundesliga,2019,SCH,35.294117647058826,35.294117647058826
Bundesliga,2019,UNI,41.1764705882353,41.1764705882353
Bundesliga,2019,WERB,11.764705882352942,11.764705882352942
Bundesliga,2019,WOB,64.70588235294117,64.70588235294117
Bundesliga,2020,AUG,29.411764705882355,29.411764705882355
Bundesliga,2020,BAY,100.0,100.0
Bundesliga,2020,BIE,17.647058823529413,17.647058823529413
Bundesliga,2020,DOR,88.23529411764706,88.23529411764706
Bundesliga,2020,EINF,76.47058823529412,76.47058823529412
Bundesliga,2020,FRE,47.05882352941177,47.05882352941177
Bundesliga,2020,HERT,23.529411764705884,23.529411764705884
Bundesliga,2020,HOF,41.1764705882353,41.1764705882353
Bundesliga,2020,KOL,11.764705882352942,11.764705882352942
Bundesliga,2020,LEVK,70.58823529411765,70.58823529411765
Bundesliga,2020,M'G,58.82352941176471,58.82352941176471
Bundesliga,2020,MAI,35.294117647058826,35.294117647058826
Bundesliga,2020,RBL,94.11764705882354,94.11764705882354
Bundesliga,2020,SCH,0.0,0.0
Bundesliga,2020,STU,52.94117647058824,52.94117647058824
Bundesliga,2020,UNI,64.70588235294117,64.70588235294117
Bundesliga,2020,WERB,5.882352941176471,5.882352941176471
Bundesliga,2020,WOB,82.3529411764706,82.3529411764706
