league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
premier_league,2002,380,161.5,0.425,160.5,0.42236842105263156,138.0,0.3631578947368421,175.0,0.4605263157894737,152.0,0.4,158.5,0.41710526315789476,163.0,0.42894736842105263,164.0,0.43157894736842106,159.5,0.41973684210526313,171.5,0.4513157894736842,160.35,0.4219736842105263
premier_league,2005,380,160.5,0.42236842105263156,163.0,0.42894736842105263,174.0,0.45789473684210524,152.0,0.4,164.0,0.43157894736842106,163.5,0.43026315789473685,159.0,0.41842105263157897,146.5,0.38552631578947366,168.0,0.4421052631578947,160.0,0.42105263157894735,161.05,0.4238157894736842
premier_league,2006,380,171.0,0.45,164.5,0.4328947368421053,165.0,0.4342105263157895,171.0,0.45,159.0,0.41842105263157897,166.0,0.4368421052631579,156.0,0.4105263157894737,157.5,0.4144736842105263,166.5,0.4381578947368421,149.0,0.39210526315789473,162.55,0.42776315789473685
premier_league,2007,380,161.5,0.425,158.5,0.41710526315789476,163.0,0.42894736842105263,167.0,0.4394736842105263,158.5,0.41710526315789476,163.0,0.42894736842105263,157.0,0.4131578947368421,182.0,0.4789473684210526,170.5,0.4486842105263158,160.5,0.42236842105263156,164.15,0.4319736842105263
premier_league,2008,380,165.0,0.4342105263157895,167.5,0.4407894736842105,168.5,0.44342105263157894,162.0,0.4263157894736842,173.5,0.45657894736842103,165.0,0.4342105263157895,168.0,0.4421052631578947,171.5,0.4513157894736842,154.5,0.40657894736842104,154.5,0.40657894736842104,165.0,0.4342105263157895
premier_league,2009,380,156.0,0.4105263157894737,160.0,0.42105263157894735,155.5,0.40921052631578947,164.0,0.43157894736842106,164.0,0.43157894736842106,159.5,0.41973684210526313,170.0,0.4473684210526316,151.5,0.3986842105263158,153.0,0.4026315789473684,161.0,0.4236842105263158,159.45,0.4196052631578947
premier_league,2010,380,166.0,0.4368421052631579,159.5,0.41973684210526313,151.5,0.3986842105263158,156.5,0.4118421052631579,168.0,0.4421052631578947,155.0,0.40789473684210525,163.0,0.42894736842105263,166.0,0.4368421052631579,172.5,0.45394736842105265,163.0,0.42894736842105263,162.1,0.42657894736842106
premier_league,2011,380,161.0,0.4236842105263158,170.0,0.4473684210526316,165.5,0.4355263157894737,150.5,0.3960526315789474,160.0,0.42105263157894735,170.5,0.4486842105263158,156.0,0.4105263157894737,163.5,0.43026315789473685,163.5,0.43026315789473685,148.0,0.3894736842105263,160.85,0.42328947368421055
premier_league,2012,380,156.5,0.4118421052631579,162.0,0.4263157894736842,157.0,0.4131578947368421,159.0,0.41842105263157897,162.5,0.4276315789473684,157.0,0.4131578947368421,159.0,0.41842105263157897,149.0,0.39210526315789473,161.0,0.4236842105263158,164.0,0.43157894736842106,158.7,0.41763157894736835
premier_league,2013,380,151.5,0.3986842105263158,161.0,0.4236842105263158,164.5,0.4328947368421053,150.5,0.3960526315789474,160.5,0.42236842105263156,168.0,0.4421052631578947,156.0,0.4105263157894737,171.0,0.45,151.0,0.3973684210526316,151.0,0.3973684210526316,158.5,0.41710526315789476
premier_league,2014,380,153.5,0.4039473684210526,165.5,0.4355263157894737,163.5,0.43026315789473685,154.0,0.4052631578947368,154.0,0.4052631578947368,153.0,0.4026315789473684,164.5,0.4328947368421053,162.5,0.4276315789473684,169.0,0.44473684210526315,153.0,0.4026315789473684,159.25,0.41907894736842105
