league,season,n_teams,spearman_r_actual,spearman_r_skill,spearman_r_luck_results_avg,spearman_r_luck_goals_avg,q_results,q_goals
Premier League,2008,20,0.5224962076619839,0.9909570459683495,0.0077610462631847,-0.0865202879556988,0.5235326034210422,0.5652244148837124
Premier League,2009,20,0.8031676492108644,0.9977409638554215,0.0424356631874339,-0.0376106498105301,0.7963234219379881,0.8120703033864832
Premier League,2010,20,0.4734860713326862,0.9860225448719738,0.0108878843147694,0.0444627739388125,0.4743941588063153,0.4556516863169262
Premier League,2011,20,0.54168242254458,0.9988713318284422,-0.0392051043224315,0.0823072323711916,0.5595806885097097,0.5011926502962645
Premier League,2012,20,0.5672636247300495,0.9920817300815888,-0.0219299003361552,-0.0624691332665695,0.5810520386472033,0.5971573111203397
Premier League,2013,20,0.6778708640292289,1.0,-0.0087712856131127,0.0825654076836468,0.6806717830246457,0.6488805429088362
Premier League,2014,20,0.5339885246447519,1.0,-0.0153979915076534,-0.0299421808994057,0.5410553504608389,0.5475362753389712
Premier League,2015,20,0.5105905994343276,1.0,-0.000680268301576,-0.0152004786514263,0.5109233028084664,0.5179184694477341
Premier League,2016,20,0.6404071318111206,1.0,-0.0404837574998514,0.0869787598052932,0.6543983838316374,0.6061505993965768
Premier League,2017,20,0.576923076923077,0.9833780399623556,-0.0043300818354579,0.0009529273277509,0.5884867664149055,0.5862738464112814
Premier League,2018,20,0.6479247128301332,1.0,-0.0026867703355083,0.0577104314200988,0.6488681235396583,0.6263618966933171
Premier League,2019,20,0.658251695553881,0.9883030126633828,-0.0853960582683976,-0.1375621795373173,0.6926035180201136,0.7068465040078564
Premier League,2020,20,0.6729536502921522,0.9890730972117558,0.0118465330296919,0.1004462013624852,0.676513657624325,0.6442607708632487
Premier League,2021,20,0.7293322910368909,0.9698340874811462,0.0075560874127467,0.128667637784298,0.7500703576023142,0.7140853673717837
Premier League,2022,20,0.6612610780770297,0.9913210370441232,-0.0768336243694684,0.089793931473203,0.6909998421667761,0.6338879253574159
Premier League,2023,20,0.6847664089046618,0.9988713318284422,0.061968908092918,0.0602218607964208,0.6647410499042018,0.665365045613428
Premier League,2024,20,0.7300159133336616,1.0,0.0383143629887488,0.0728226416231657,0.7192595207042904,0.7088107423816012
Serie A,2000,18,0.3015052953225128,1.0,0.0411611561798922,-0.1901069978538082,0.27152022555259037,0.41308243213666934
