season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points
2024/2025,2024-11-10,Inter,Napoli,1,1,draw,1,1
2024/2025,2024-11-09,Venezia,Parma,1,2,loss,0,3
2024/2025,2024-11-09,Cagliari,Milan,3,3,draw,1,1
2024/2025,2024-11-09,Juventus,Torino,2,0,win,3,0
2024/2025,2024-11-08,Lecce,Empoli,1,1,draw,1,1
2024/2025,2024-11-07,Genoa,Como,1,1,draw,1,1
2024/2025,2024-11-04,Empoli,Como,1,0,win,3,0
2024/2025,2024-11-04,Parma,Genoa,0,1,loss,0,3
2024/2025,2024-11-04,Lazio,Cagliari,2,1,win,3,0
2024/2025,2024-11-03,Napoli,Atalanta,0,3,loss,0,3
2024/2025,2024-11-03,Torino,Fiorentina,0,1,loss,0,3
2024/2025,2024-11-03,Verona,Roma,3,2,win,3,0
2024/2025,2024-11-03,Inter,Venezia,1,0,win,3,0
2024/2025,2024-11-02,Bologna,Lecce,1,0,win,3,0
2024/2025,2024-11-02,Udinese,Juventus,0,2,loss,0,3
2024/2025,2024-11-02,Monza,Milan,0,1,loss,0,3
2024/2025,2024-10-31,Genoa,Fiorentina,0,1,loss,0,3
2024/2025,2024-10-31,Como,Lazio,1,5,loss,0,3
2024/2025,2024-10-31,Roma,Torino,1,0,win,3,0
2024/2025,2024-10-30,Empoli,Inter,0,3,loss,0,3
2024/2025,2024-10-30,Venezia,Udinese,3,2,win,3,0
2024/2025,2024-10-30,Atalanta,Monza,2,0,win,3,0
2024/2025,2024-10-30,Juventus,Parma,2,2,draw,1,1
2024/2025,2024-10-29,Cagliari,Bologna,0,2,loss,0,3
2024/2025,2024-10-29,Lecce,Verona,1,0,win,3,0
2024/2025,2024-10-29,Milan,Napoli,0,2,loss,0,3
2024/2025,2024-10-27,Parma,Empoli,1,1,draw,1,1
2024/2025,2024-10-27,Lazio,Genoa,3,0,win,3,0
2024/2025,2024-10-27,Monza,Venezia,2,2,draw,1,1
2024/2025,2024-10-27,Inter,Juventus,4,4,draw,1,1
2024/2025,2024-10-27,Fiorentina,Roma,5,1,win,3,0
2024/2025,2024-10-26,Napoli,Lecce,1,0,win,3,0
2024/2025,2024-10-26,Atalanta,Verona,6,1,win,3,0
2024/2025,2024-10-25,Udinese,Cagliari,2,0,win,3,0
2024/2025,2024-10-25,Torino,Como,1,0,win,3,0
2024/2025,2024-10-21,Verona,Monza,0,3,loss,0,3
2024/2025,2024-10-20,Empoli,Napoli,0,1,loss,0,3
2024/2025,2024-10-20,Lecce,Fiorentina,0,6,loss,0,3
2024/2025,2024-10-20,Venezia,Atalanta,0,2,loss,0,3
2024/2025,2024-10-20,Cagliari,Torino,3,2,win,3,0
2024/2025,2024-10-20,Roma,Inter,0,1,loss,0,3
2024/2025,2024-10-19,Como,Parma,1,1,draw,1,1
2024/2025,2024-10-19,Genoa,Bologna,2,2,draw,1,1
2024/2025,2024-10-19,Milan,Udinese,1,0,win,3,0
2024/2025,2024-10-19,Juventus,Lazio,1,0,win,3,0
2024/2025,2024-10-06,Juventus,Cagliari,1,1,draw,1,1
2024/2025,2024-10-06,Bologna,Parma,0,0,draw,1,1
2024/2025,2024-10-06,Lazio,Empoli,2,1,win,3,0
2024/2025,2024-10-06,Monza,Roma,1,1,draw,1,1
2024/2025,2024-10-06,Fiorentina,Milan,2,1,win,3,0
2024/2025,2024-10-05,Udinese,Lecce,1,0,win,3,0
2024/2025,2024-10-05,Atalanta,Genoa,5,1,win,3,0
2024/2025,2024-10-05,Inter,Torino,3,2,win,3,0
2024/2025,2024-10-04,Napoli,Como,3,1,win,3,0
2024/2025,2024-10-04,Verona,Venezia,2,1,win,3,0
2024/2025,2024-09-30,Parma,Cagliari,2,3,loss,0,3
2024/2025,2024-09-29,Torino,Lazio,2,3,loss,0,3
2024/2025,2024-09-29,Como,Verona,3,2,win,3,0
2024/2025,2024-09-29,Roma,Venezia,2,1,win,3,0
2024/2025,2024-09-29,Empoli,Fiorentina,0,0,draw,1,1
2024/2025,2024-09-29,Napoli,Monza,2,0,win,3,0
2024/2025,2024-09-28,Udinese,Inter,2,3,loss,0,3
2024/2025,2024-09-28,Genoa,Juventus,0,3,loss,0,3
2024/2025,2024-09-28,Bologna,Atalanta,1,1,draw,1,1
2024/2025,2024-09-27,Milan,Lecce,3,0,win,3,0
2024/2025,2024-09-24,Atalanta,Como,2,3,loss,0,3
2024/2025,2024-09-22,Fiorentina,Lazio,2,1,win,3,0
2024/2025,2024-09-22,Monza,Bologna,1,2,loss,0,3
2024/2025,2024-09-22,Roma,Udinese,3,0,win,3,0
2024/2025,2024-09-22,Inter,Milan,1,2,loss,0,3
2024/2025,2024-09-21,Venezia,Genoa,2,0,win,3,0
2024/2025,2024-09-21,Juventus,Napoli,0,0,draw,1,1
2024/2025,2024-09-21,Lecce,Parma,2,2,draw,1,1
2024/2025,2024-09-20,Cagliari,Empoli,0,2,loss,0,3
2024/2025,2024-09-20,Verona,Torino,2,3,loss,0,3
2024/2025,2024-09-16,Parma,Udinese,2,3,loss,0,3
2024/2025,2024-09-16,Lazio,Verona,2,1,win,3,0
2024/2025,2024-09-15,Genoa,Roma,1,1,draw,1,1
2024/2025,2024-09-15,Atalanta,Fiorentina,3,2,win,3,0
2024/2025,2024-09-15,Torino,Lecce,0,0,draw,1,1
2024/2025,2024-09-15,Cagliari,Napoli,0,4,loss,0,3
2024/2025,2024-09-15,Monza,Inter,1,1,draw,1,1
2024/2025,2024-09-14,Como,Bologna,2,2,draw,1,1
2024/2025,2024-09-14,Empoli,Juventus,0,0,draw,1,1
2024/2025,2024-09-14,Milan,Venezia,4,0,win,3,0
2024/2025,2024-09-01,Fiorentina,Monza,2,2,draw,1,1
2024/2025,2024-09-01,Genoa,Verona,0,2,loss,0,3
2024/2025,2024-09-01,Juventus,Roma,0,0,draw,1,1
2024/2025,2024-09-01,Udinese,Como,1,0,win,3,0
2024/2025,2024-08-31,Bologna,Empoli,1,1,draw,1,1
2024/2025,2024-08-31,Lecce,Cagliari,1,0,win,3,0
2024/2025,2024-08-31,Lazio,Milan,2,2,draw,1,1
2024/2025,2024-08-31,Napoli,Parma,2,1,win,3,0
2024/2025,2024-08-30,Venezia,Torino,0,1,loss,0,3
2024/2025,2024-08-30,Inter,Atalanta,4,0,win,3,0
2024/2025,2024-08-26,Cagliari,Como,1,1,draw,1,1
2024/2025,2024-08-26,Verona,Juventus,0,3,loss,0,3
2024/2025,2024-08-25,Fiorentina,Venezia,0,0,draw,1,1
2024/2025,2024-08-25,Torino,Atalanta,2,1,win,3,0
2024/2025,2024-08-25,Napoli,Bologna,3,0,win,3,0
2024/2025,2024-08-25,Roma,Empoli,1,2,loss,0,3
2024/2025,2024-08-24,Parma,Milan,2,1,win,3,0
2024/2025,2024-08-24,Udinese,Lazio,2,1,win,3,0
2024/2025,2024-08-24,Inter,Lecce,2,0,win,3,0
2024/2025,2024-08-24,Monza,Genoa,0,1,loss,0,3
2024/2025,2024-08-19,Lecce,Atalanta,0,4,loss,0,3
2024/2025,2024-08-19,Juventus,Como,3,0,win,3,0
2024/2025,2024-08-18,Bologna,Udinese,1,1,draw,1,1
2024/2025,2024-08-18,Verona,Napoli,3,0,win,3,0
2024/2025,2024-08-18,Cagliari,Roma,0,0,draw,1,1
2024/2025,2024-08-18,Lazio,Venezia,3,1,win,3,0
2024/2025,2024-08-17,Genoa,Inter,2,2,draw,1,1
2024/2025,2024-08-17,Parma,Fiorentina,1,1,draw,1,1
2024/2025,2024-08-17,Empoli,Monza,0,0,draw,1,1
2024/2025,2024-08-17,Milan,Torino,2,2,draw,1,1
2022/2023,2023-06-04,Napoli,Sampdoria,2,0,win,3,0
2022/2023,2023-06-04,Atalanta,Monza,5,2,win,3,0
2022/2023,2023-06-04,Lecce,Bologna,2,3,loss,0,3
2022/2023,2023-06-04,Milan,Verona,3,1,win,3,0
2022/2023,2023-06-04,Roma,Spezia,2,1,win,3,0
2022/2023,2023-06-04,Udinese,Juventus,0,1,loss,0,3
2022/2023,2023-06-03,Torino,Inter,0,1,loss,0,3
2022/2023,2023-06-03,Cremonese,Salernitana,2,0,win,3,0
2022/2023,2023-06-03,Empoli,Lazio,0,2,loss,0,3
2022/2023,2023-06-02,Sassuolo,Fiorentina,1,3,loss,0,3
2022/2023,2023-05-28,Verona,Empoli,1,1,draw,1,1
2022/2023,2023-05-28,Bologna,Napoli,2,2,draw,1,1
2022/2023,2023-05-28,Monza,Lecce,0,1,loss,0,3
2022/2023,2023-05-28,Lazio,Cremonese,3,2,win,3,0
2022/2023,2023-05-28,Juventus,Milan,0,1,loss,0,3
2022/2023,2023-05-27,Salernitana,Udinese,3,2,win,3,0
2022/2023,2023-05-27,Spezia,Torino,0,4,loss,0,3
2022/2023,2023-05-27,Fiorentina,Roma,2,1,win,3,0
2022/2023,2023-05-27,Inter,Atalanta,3,2,win,3,0
2022/2023,2023-05-26,Sampdoria,Sassuolo,2,2,draw,1,1
2022/2023,2023-05-22,Roma,Salernitana,2,2,draw,1,1
2022/2023,2023-05-22,Empoli,Juventus,4,1,win,3,0
2022/2023,2023-05-21,Lecce,Spezia,0,0,draw,1,1
2022/2023,2023-05-21,Torino,Fiorentina,1,1,draw,1,1
2022/2023,2023-05-21,Napoli,Inter,3,1,win,3,0
2022/2023,2023-05-21,Udinese,Lazio,0,1,loss,0,3
2022/2023,2023-05-20,Cremonese,Bologna,1,5,loss,0,3
2022/2023,2023-05-20,Atalanta,Verona,3,1,win,3,0
2022/2023,2023-05-20,Milan,Sampdoria,5,1,win,3,0
2022/2023,2023-05-19,Sassuolo,Monza,1,2,loss,0,3
2022/2023,2023-05-15,Sampdoria,Empoli,1,1,draw,1,1
2022/2023,2023-05-14,Verona,Torino,0,1,loss,0,3
2022/2023,2023-05-14,Fiorentina,Udinese,2,0,win,3,0
2022/2023,2023-05-14,Monza,Napoli,2,0,win,3,0
2022/2023,2023-05-14,Bologna,Roma,0,0,draw,1,1
2022/2023,2023-05-14,Juventus,Cremonese,2,0,win,3,0
