team,season,first_half_points,second_half_points,league
BIE,2021,5.882352941176471,5.882352941176471,Bundesliga
BOC,2021,29.411764705882355,29.411764705882355,Bundesliga
DOR,2021,94.11764705882354,94.11764705882354,Bundesliga
EINF,2021,41.1764705882353,41.1764705882353,Bundesliga
FRE,2021,70.58823529411765,70.58823529411765,Bundesliga
GREF,2021,0.0,0.0,Bundesliga
HERT,2021,11.764705882352942,11.764705882352942,Bundesliga
HOF,2021,52.94117647058824,52.94117647058824,Bundesliga
KOL,2021,64.70588235294117,64.70588235294117,Bundesliga
LEVK,2021,88.23529411764706,88.23529411764706,Bundesliga
M'G,2021,47.05882352941177,47.05882352941177,Bundesliga
MAI,2021,58.82352941176471,58.82352941176471,Bundesliga
RBL,2021,82.3529411764706,82.3529411764706,Bundesliga
STU,2021,17.647058823529413,17.647058823529413,Bundesliga
UNI,2021,76.47058823529412,76.47058823529412,Bundesliga
WOB,2021,35.294117647058826,35.294117647058826,Bundesliga
AUG,2022,17.647058823529413,17.647058823529413,Bundesliga
BAY,2022,100.0,100.0,Bundesliga
BOC,2022,23.529411764705884,23.529411764705884,Bundesliga
DOR,2022,94.11764705882354,94.11764705882354,Bundesliga
EINF,2022,64.70588235294117,64.70588235294117,Bundesliga
FRE,2022,76.47058823529412,76.47058823529412,Bundesliga
HERT,2022,0.0,0.0,Bundesliga
HOF,2022,35.294117647058826,35.294117647058826,Bundesliga
KOL,2022,41.1764705882353,41.1764705882353,Bundesliga
LEVK,2022,70.58823529411765,70.58823529411765,Bundesliga
M'G,2022,47.05882352941177,47.05882352941177,Bundesliga
MAI,2022,52.94117647058824,52.94117647058824,Bundesliga
RBL,2022,88.23529411764706,88.23529411764706,Bundesliga
SCH,2022,5.882352941176471,5.882352941176471,Bundesliga
STU,2022,11.764705882352942,11.764705882352942,Bundesliga
UNI,2022,82.3529411764706,82.3529411764706,Bundesliga
WERB,2022,29.411764705882355,29.411764705882355,Bundesliga
WOB,2022,58.82352941176471,58.82352941176471,Bundesliga
AUG,2023,41.1764705882353,41.1764705882353,Bundesliga
BAY,2023,88.23529411764706,88.23529411764706,Bundesliga
BOC,2023,11.764705882352942,11.764705882352942,Bundesliga
DAR,2023,0.0,0.0,Bundesliga
DOR,2023,76.47058823529412,76.47058823529412,Bundesliga
EINF,2023,70.58823529411765,70.58823529411765,Bundesliga
FRE,2023,47.05882352941177,47.05882352941177,Bundesliga
HEI,2023,58.82352941176471,58.82352941176471,Bundesliga
HOF,2023,64.70588235294117,64.70588235294117,Bundesliga
KOL,2023,5.882352941176471,5.882352941176471,Bundesliga
LEVK,2023,100.0,100.0,Bundesliga
M'G,2023,23.529411764705884,23.529411764705884,Bundesliga
MAI,2023,29.411764705882355,29.411764705882355,Bundesliga
RBL,2023,82.3529411764706,82.3529411764706,Bundesliga
STU,2023,94.11764705882354,94.11764705882354,Bundesliga
UNI,2023,17.647058823529413,17.647058823529413,Bundesliga
WERB,2023,52.94117647058824,52.94117647058824,Bundesliga
WOB,2023,35.294117647058826,35.294117647058826,Bundesliga
AUG,2024,35.294117647058826,35.294117647058826,Bundesliga
BAY,2024,100.0,100.0,Bundesliga
BOC,2024,0.0,0.0,Bundesliga
DOR,2024,82.3529411764706,82.3529411764706,Bundesliga
EINF,2024,88.23529411764706,88.23529411764706,Bundesliga
FRE,2024,76.47058823529412,76.47058823529412,Bundesliga
HEI,2024,11.764705882352942,11.764705882352942,Bundesliga
HOF,2024,17.647058823529413,17.647058823529413,Bundesliga
HOLK,2024,5.882352941176471,5.882352941176471,Bundesliga
LEVK,2024,94.11764705882354,94.11764705882354,Bundesliga
M'G,2024,47.05882352941177,47.05882352941177,Bundesliga
MAI,2024,70.58823529411765,70.58823529411765,Bundesliga
RBL,2024,64.70588235294117,64.70588235294117,Bundesliga
STP,2024,23.529411764705884,23.529411764705884,Bundesliga
STU,2024,52.94117647058824,52.94117647058824,Bundesliga
UNI,2024,29.411764705882355,29.411764705882355,Bundesliga
WERB,2024,58.82352941176471,58.82352941176471,Bundesliga
WOB,2024,41.1764705882353,41.1764705882353,Bundesliga
ALA,2000,52.63157894736842,52.63157894736842,La Liga
ATHB,2000,31.57894736842105,31.57894736842105,La Liga
BARC,2000,84.21052631578947,84.21052631578947,La Liga
CEL,2000,73.6842105263158,73.6842105263158,La Liga
ESP,2000,57.89473684210527,57.89473684210527,La Liga
LAC,2000,94.73684210526315,94.73684210526315,La Liga
LASP,2000,47.368421052631575,47.368421052631575,La Liga
MALL,2000,89.47368421052632,89.47368421052632,La Liga
MLG,2000,63.1578947368421,63.1578947368421,La Liga
NUM,2000,0.0,0.0,La Liga
OSA,2000,15.789473684210526,15.789473684210526,La Liga
OVI,2000,10.526315789473683,10.526315789473683,La Liga
RAYO,2000,42.10526315789473,42.10526315789473,La Liga
RMA,2000,100.0,100.0,La Liga
RSO,2000,36.8421052631579,36.8421052631579,La Liga
SAN,2000,5.263157894736842,5.263157894736842,La Liga
VIL,2000,68.42105263157895,68.42105263157895,La Liga
VLC,2000,78.94736842105262,78.94736842105262,La Liga
VLLD,2000,21.052631578947366,21.052631578947366,La Liga
ZAR,2000,26.31578947368421,26.31578947368421,La Liga
ALA,2001,68.42105263157895,68.42105263157895,La Liga
ATHB,2001,52.63157894736842,52.63157894736842,La Liga
BARC,2001,84.21052631578947,84.21052631578947,La Liga
BET,2001,73.6842105263158,73.6842105263158,La Liga
CEL,2001,78.94736842105262,78.94736842105262,La Liga
ESP,2001,31.57894736842105,31.57894736842105,La Liga
LAC,2001,94.73684210526315,94.73684210526315,La Liga
LASP,2001,10.526315789473683,10.526315789473683,La Liga
MALL,2001,21.052631578947366,21.052631578947366,La Liga
MLG,2001,57.89473684210527,57.89473684210527,La Liga
OSA,2001,15.789473684210526,15.789473684210526,La Liga
RAYO,2001,52.63157894736842,42.10526315789473,La Liga
RMA,2001,89.47368421052632,89.47368421052632,La Liga
RSO,2001,36.8421052631579,36.8421052631579,La Liga
SEV,2001,63.1578947368421,63.1578947368421,La Liga
TEN,2001,5.263157894736842,5.263157894736842,La Liga
VIL,2001,26.31578947368421,26.31578947368421,La Liga
VLC,2001,100.0,100.0,La Liga
VLLD,2001,42.10526315789473,42.10526315789473,La Liga
ZAR,2001,0.0,0.0,La Liga
ALA,2002,5.263157894736842,5.263157894736842,La Liga
ATHB,2002,68.42105263157895,68.42105263157895,La Liga
ATHM,2002,47.368421052631575,47.368421052631575,La Liga
BARC,2002,73.6842105263158,73.6842105263158,La Liga
